epoch,train_loss,val_loss
1,0.11831232695595215,0.22525261910632252
2,0.10466848004021143,0.21540221553295852
3,0.10204910798684547,0.2121629980392754
4,0.10052142643222683,0.20915836757048964
5,0.09910051883443406,0.20733981216326355
6,0.09802696626437338,0.20468319980427624
7,0.09678154986743864,0.20299662156030535
8,0.09574742875993252,0.20261591486632824
9,0.0954062283235161,0.20156052876263858
10,0.09381273357491744,0.19986407738178968
11,0.09268223051177828,0.19801000077277423
12,0.09219512333603282,0.19911936055868865
13,0.09228285919678839,0.19915397725999356
14,0.09213372266998417,0.19689543060958387
15,0.09201151030628305,0.1969665645621717
16,0.09200373309615412,0.1970210679806769
17,0.09195791512335602,0.1976860917173326
18,0.09173436102114225,0.19703330434858798
19,0.09147930811894567,0.19673373345285655
20,0.0913510052781356,0.196930121909827
