epoch,train_loss,val_loss
1,0.042700748773306374,0.04088803146172453
2,0.04165697660971814,0.04063671716937312
3,0.041563942911118035,0.04065796263791897
4,0.04153488230282866,0.04059596649474568
5,0.04155766025302917,0.04062183877384221
6,0.04153375301187433,0.040580503504585336
7,0.04153370050581422,0.040785749477368814
8,0.04157103070123928,0.040582581250755874
9,0.04153656642737351,0.040643504786270636
10,0.04151860257889342,0.04064888645101477
11,0.04153250134366704,0.040623466587728925
12,0.04151787069134825,0.04062245551634718
13,0.04150790885442824,0.040612116318058084
14,0.04151079874104402,0.04063408407900068
15,0.041532002360098005,0.04058380976871208
16,0.04152586375634501,0.04058538777408777
17,0.04149412305101635,0.0406299041653121
18,0.04151469606935509,0.040609007218369735
19,0.04151252657175064,0.0405730097382157
20,0.041517520924722114,0.04059507656428549
21,0.04149903984755043,0.040596016855151566
22,0.04150435340216779,0.040584246179571855
23,0.04150260131307474,0.040588905551919234
24,0.04148531790206751,0.04058204398111061
25,0.041497136664202836,0.040598235886406014
